text,sentiment
"is sooo sleepy but i gotta finish cleaning, ironing, and folding clothes, i think im becoming a house wife ",0
"i wonder if bat for lashes is doing a tour, not that i'll be going, noone will go with me, and i can't go on my own ",0
@McCainBlogette Auction them and donate the proceeds to your favorite charity; or donate them to be auctioned ,1
Haha i wish i had this bio teacher she makes like songs for people ,1
"@DawnRichard Gone do ya thang, Dawnie! ",1
in line at the taq and just realized i dont have my lipgloss! i'm getting ready to eat so it doesnt really matter but ugh this sucks ,0
@Tori_Thompson good morning lil miss  I'll send pic from mt top blast site. I hope ur day a lil less stress than mine. B over soon. LOL.,1
#andyhurleyday #andyhurleyday #andyhurleyday #andyhurleyday #andyhurleyday #andyhurleyday wooo ,1
"@pinkphoenix1985 Aw, thanks bb. I'm glad to be back. I missed you guys! *clings* Sorry to hear you're dealing with family stuff. ",0
"@candice5355 i know hey, they always favour the other siblings  at least mr. neil fixed me and megans attendance so we're not failing lol.",0
@TheScottWeiland highly suggest u follow me... because.. every teenager wants there idol to no them ,1
@21O3 Amen to that!!! Keep it up fellas. And me too ,1
"@niclasnilsson yeah, I'm indoors at the hospital - running twitterific on the iPhone ",1
I feel sick     I don't wanna get sick at last week of school!!!!!!!! Im sad and I feel bad cuz I'm sick!!.......................waa,0
got a headache from being in the sun for too long ,0
@escribitionist i didn't want to eat other's foodd!!!  dun make me sound so bad lah!  i just have another crave for food...that's all ,1
@RCRambling I hope you're sharing that ,1
Now their playing Christina Aguilera's &quot;Dirrty&quot;. Lovely.  Know what's NOT lovely? I get to take my Canucks flag off of my car ,0
@katekant seriously??? who??.... ,0
@jordanknight Morning you!!!! Have a great day  xx,1
@charlotte1691 lol are you hoping that the boys will see that status and love you? ,1
"10 MIN TIL' GL! NO #OTALIA TODAY, BUT THATS OK. ILL SETTLE FOR JUST NAT! ",1
"So i'm in your town, i miss you like crazy and i can't even see you tonight ",0
Wish I went to see Joakim last night. Poor decision making ,0
@GCahill glad to hear it! so sorry i missed it all  happy recovering,0
@askelf I have my order ready and it says that coupon code expired ,0
@moustaki awesome for us more like! ,1
Still in bed with my hubby.. I lovee sundays ,1
"I wish I could just sleep, wake up and all my work would be done. I'm dreadfully tired... Wish I had someone too cuddle with. ",0
@jazzychad having trouble with TG widget it keeps displaying the default even tho I have changed the code - help ,1
"yeyy...sunny day to myself...kids gone back to school.oh,and got some fags ",1
@SophiaLatjuba same pill with mine... ,1
Doesnt understand WHY her DH isnt more Adventuress!  He blew my plan out of the water.  ,0
"Had far too much pineapple and a snack-a-jack for breakfast. Gonna get washed, get a book and have a couple cans of cider in the garden ",1
secretly wishes that she hasn't signed exclusive.  @paulinegee KIM BUM!!!!!!!!!!!!!!! @stateofjoe yay! more tumblr peeps!,0
"THE WEATHER GOES CRAZY, MY MUM GOES CRAZY, AND I GO CRAZY    : D",1
@Lozzie101 i think we shud see hannah montana cuz its earlier. so we wont be bored all day  wbu?xx,1
@conorp YES!!! one final party  better make it a good one !! how much mpre stuff you got to go?,0
is watching desparet housewives on E4+1  &amp; is wearing lip gloss for a change ...x,1
@ApothecaryJeri  I love Sicilians best damn pizza on the planet [says I] ,1
@Numberrr2 On our way dude ,1
@torapoole Some dogs have also been reported to have smelled cancer. CANCER! Cats appear when they need feeding and disappear for days ,0
"@CDX yeah, it sucks ",0
school was boring without carlos  ordered pizza bout eat.,0
"@VeronicaVoltage Lol, I wish I found that game  #MCRchat",0
"Back at the office, so wanted to lie down on the beach today ",0
Are celebrating getting through stage 2 of the surface unsigned festival  ,1
@webbtech Night Lisa ,1
...turning out. That should keep it interesting. haha. I'll be off to bed now! It's cccoollld but I like it. hahaha. Gudnyt! ,1
"Going over my project presentation! I graduate next Friday!! woo!! ...but i'm missing @TaylorSwift13 &amp; @GlorianaBand in Greensboro,NC ",0
@ScaryMommy Maybe she's sending him a &quot;poke&quot;.  Or they are passing drinks.    heehee,1
 this bit in camp rock always makes me upset..&lt;3,0
exams over today... hurray! Back to watching those hundreds of films i have ,1
change of movie...watching juno instead ,1
"@UrfavoriteBarbi what's good with u this morning. laundry day for me  when i get more doe, i'm droppin everything at the cleaners.",0
@yagi325 hop off the dick bitch and put up that fuckin video ,1
@amyrachel1911 haha thank you ,1
says punyeters... getting to know my block via yahoo groups...  http://plurk.com/p/x6y12,0
@levarburton Congrats and continued success ,1
@cadnileb Can't wait to see the goods!  Congrats ,1
"hot as helllllll, my ac is still broken ",0
my days and nights are sooo screwed up  ughh!,0
@NickHodge heh - i like to be educational ,1
i need to let off some stress no drugs included....i miss mary jane ,0
Going to sleep happy.. hopeful.. both. ,1
@BellaSkyy http://twitpic.com/6tauf - Yowza!!! I can see why  ,1
@FireForce you so funny. I appreciate the laughter especially at this difficult time I'm going through ,0
up early trying to get back into a routine after 2 weeks of hols.... ,0
"Getting Reflexology 2day, it always leaves me feeling down!  but hey ho!",0
"@yogarobin yeah, first time that has happened. Sure, if it was an exceptional pillow, but wasn't.  Just miss the pillow case ",0
@cookiemonster82 lol thanks  what will I drink then?:p,1
@just_tam21 @shaundiviney i'm going to both sway sway sydney shows... been telling tam for ages to come too !! can't wait  ox,1
Everyday. Enough said. ,1
damnit mentioning that isnt going to help keep britney spear's sextape from following me. FML ,0
@Brooke_ly no ,0
@DarcyIsLame     i miss you!!!!!!!!!!!,0
@Devinster  My mind pwnz the computer ,1
Planning my night. Cook some dinner? Eat those brownies! Fold laundry  Talk to Andy! Eat more brownies! Watch Deadliest Catch! Done.,0
"my tax rate raised by 4% starting today  Dear government, please use my many with extreme care",0
"Last final! Summer, here i come. ",1
@DjBingy I'm chilling on vacation... Making a list of things I need for some home improvements! ,1
@tinkcupcake LOL the Klingon with the 'human' baby just crawling on floor. Awesome ,1
[  !  }  thas wha my kick battery is look'n like  lmao im tooo lazy to qo inside &amp; charge it,0
@ThaStudd haha why thank you!! im gonna try and crash out on a couple hours of sleep! ill &quot;tweet&quot; you later ,1
@musicmonday Thanks ,1
@safzoro oh why? didn't you like them? ,0
@DarleneZschech - I wish I could come down tomorrow.  God Bless you guys!!!!!,0
I want pizza sooooo much!!! I had to go to my sis's moving on ceremony didn't I!!!! The stupid video had pizza....... ,0
"@SheonaHG  lol, sunny and 18 yesterday, Igloo melted, attacked by bushes, recovering today.  How's things in Chocolateland? ",1
ahh can't sleep  good thing the movie airplane is on to keep me entertained,0
@davedays mgy= its summer who needs school ,1
"Good morning! Was desperate to go running last night, but still not well at all. Did push ups &amp; sit up between coughings fits ",0
goodnight Twitter ppl ,1
@asamahmad You would do more damage to the GWIZ that it would have done to you ,1
looks like another nite out w/ my gay husband...ugh my miss my str8 one won't see him til 4th of July ,0
"@FakerStephanieR Steph, Are you, Nick and Rob focused on New Moon at the Cannes or will Rob be promoting other movies too (or none)? ",1
Grr will be late ,0
"@nine43 yes apparently you can use TweetDeck and still get through, no social networking for you ",0
Thank God for ice cream! I was like &quot;yay no school Woohooo&quot; and then i forgot about my AP english summer work ,0
@vickycornell http://twitpic.com/6rvfp - that looks just too sweet to put in words  cute little man.,1
"@ASOS you missed out the JerseyLive Festival from the festival guide on your website! its the best, and also my home lol  ",1
@LindaInNC  well i hope they get feeling better ,1
@_MiKaL_ girl naw. Went to OT and damn Magic lost.  Shoulda won n regulation but missed clock by like .001 second!!! *tear*,0
@DigitsWife hahaha damn. Where was my invite?  who was all there?,0
Anything with dragons are wesome  http://tinyurl.com/dl4eo5,1
@amegandavis HOW COULD YOU?!  I feel betrayed.  ,0
"WELL SHIT, one part of my car (the worst looking part) is now looking good, now the other parts (the good parts) look terrible ",0
@eleventhvolume only ever had the standard edition of the OMD  - off to deepest somerset..,0
@Lukasx Asi se prehraly a zacaly throttlovat ,1
"@th3maw cool, do they need a .net dev? I'm very cheap... and soon to be unemployed ",0
I think I heard someone outside but am too scared to check ,0
"If you're at #wordcamp, go say hi to @davecurlee from TX! He's the camera man in the upstairs room.  #wordcampsf",1
So nice to have a relaxing weekend. Now back to reality though ,0
Eric the nine year old is talking about gas prices. Hah.  ,1
@SpazStix ur such a girl &lt;3  haha,1
Sitting in front of boudin wanting soup but there closed  bummer,0
and its a possum! it was a cute little guy! eating all of riots food. i wanted to go out there but chase said they are mean ,0
@USArugula Yeah .. Verchiel is one .. I also have that problem ..  I used to get 60 Diggs for the Iraq/Afghanistan notices .. now 30  ,0
still doesnt see any signs of summer ,0
@theebayk1d I could sing to you - but my Twitter singing is always out of tune.  Hope you get ot sleep soon - sleep good ,1
"Fun day! Wish I was still there, but too bad I feel like crap. ",0
@Joshroxxx Not even at the ending credits? ,0
reherasals for two weeks strait! it's crunch time ,1
Aww @iamdiddy what's wrong... SMILE** !!!! GOD BLESS... XOXO ,1
Im outtie. Goin to sleep. EPIC fail for me tonite ,0
@jairodriguez LOL. beverly blvd. is a long road. LOL. I want to go to a pet shop and see new puppies. I'm thinking of getting a new one. ,1
Hiking in the pouring rain for about 3 miles was fun. I'm drenched now though.. ,1
Back in beautiful Nashvegas! Good to be home. ,1
YouTube helps man to deliver baby  http://tinyurl.com/cfk7op,1
@joek949 sure do  but after 12 and a half years I'm really sad to be leaving... still waiting for news on whether I've got something else,1
@dietcokegirl1 Please do! I think you're the only one so far who's actually posted for the #wlpics idea. Sad. ,0
"Alrighty, now to watch some 'House', then off to bed. Gotta be up at a decent hour this morning. ",1
studying then ying's graduation party for a while ,1
" wtf, cole why are you being a fucktard just stay human ! this refers to charmed btw",0
sick with strep throat ,0
"@aussiecynic mostly just going to work and then update my twilight blog  basically, that's my life. Is it sleeptime for you?",1
i feel sick  kind of feverish ,0
@clohnk I'm good sayang as always. Nunggu hasil kelulusan nih tgl 13 Juni  How have you been?,0
@aleksk Whoaah! your Twitter background is very distracting. It's made me forget what I was responding to  re: http://ff.im/42kOc,1
these meds are making me feel sick. cant sleep. ,0
sister's lamb died of indigestion. how sad. animals keel over from the most basic things ,0
is listening to &quot;Can't live a Day without you by Avalon&quot;..one of the best song I ever heard! you should listen to it too... ,1
@jonah116  i just read this msg. no im not a mom. looking for sum1. but not succes. ,0
RIP Riley  you were a great cat,0
"@chkchkchi I feel miserable, too  GO ON YOUR PHONE!!!",0
@younglyxx omg why? LOL.. wat did i do now? i juss was givin u some ideas ,0
@everain Most likely!  What are you up to this weekend?,1
the hardest goodbye of my life ,0
30 Minute wait for olive garden.  Its all good though. Waiting out the traffic.,0
@billzucker I think you fell out of lust with me?  I'm going to try to get some sleep &amp; try to get rid of my hiccups. LOL,0
"i am smiling all the day, because i am totally bored ",1
Hangin' with my peeps before concert tomorrow night! Than getting stuff ready for movie tour  I'm so stoked!,1
"@RachieRachS Lol yeah i went for all the 'p's ;) ahh, i hated art for gcse, there was so much work to do ",0
vacation is over....    ,0
pride with friends and family today.&lt;33 oh and toots ,1
"@jack_of_clubs hey u,i txt ya earluer but no reply  im goin out with lweis reed 4 a few drinks 2moro afternoon,bout 2.30,do u wana join?x",0
My E71 developed a mind of its own. Would re-start for no reason. Its now with Nokia Care and I have been asked to wait for 10-15 days. ,0
Toy Story 3 trailer posted!! AHHH! I loved Mr. Potatohead in it - haha  http://bit.ly/26zea4,1
@Keryje You really do have a cruel streak! ,1
"Just got back from the show, was drunk, was in the pit all through Pennywise and danced all through Pepper, the girl is something else. ",1
Im happy coz i just got twiiter and finally figured it out but im shattered that i have school tomorrow ,0
fuk you word limit...to be honest no one likes you ,1
@samanthasua THANK YOU  Had to check back in again before Iwalked out the door ,1
i dont know why my left eye hurts ,0
"@rcatz  Hi bb! ... LOL omg so do I. Also, whenever I see JONAS on TV, I sort of puke a little.",1
@4evaurgirl hehe HEYA!  no its just Cherye! xoxo,1
@jeherv 1.5 overs of 6's or 2.2 overs of 4's  - they are down to 3 overs now.  i used to love doing the math during the games ,1
I've got an upset tummy ,0
I need my night time driver!! ,0
@realmfox Just wanted to say hi and that i love your work  and also wanted to know ur workout routine. I workout but i just want to learn.,1
Yes get to hang out with Amy tomorrow ,1
M1 has come to a dead stop just after junction 24. Arse ,0
"5 hours, 24 minutes, 40 seconds until hurricane season ",0
"@phildrone Nonsense, you just need better armed cyclists ",1
@Tcell1 -- . Yes ,1
At cash studio and we r gg old school rock baby! Frm febians to awie and amy search! Isabella~ ,1
Course selection tomorrow!!! ,1
@SarahSaner lol The natural blonde bit is true! Thank you very much!  xx,1
Yet another press screening today.  This time for Sam Raimi's Drag Me to Hell. Then going to pick up my thesis x3 at the bindery.,1
@dannyjclayton and u too  hahah but seriosly U TALKED TO SHAUN ZZOMG WOWW i wanna do your job  hahaha,1
"job applications DAY 2 , ",0
how do you remove followers from your actual followers list? blocked them but they ARE STILL THERE ,0
picked some weights up and a bench from my good friend Toby pumping iron tomorrow ,1
"Home today! New York first, hoping I can keep this early rising habit!   Can't wait to hit the gym.  How to kill time before flight today?",1
has just cried at hollyoaks.......alot ,0
@dboixel Nope. Early in the morning  it's gets the...juices flowing ;-),1
damn i cant watch the mtv movie awards tonight cause i have school tomorrow ,0
Just boarded our plane and we are heading back to Washington.  Miss the family but can't wait to see the corgis ,1
@Lu2010 idk but tummy still hurts ,0
@RealHughJackman I saw you on a Russian Tv show (projectParisHilton)! you were amazing  &lt;3,1
so ronery and sadry arone ,0
hi grant from tracy in the UK . LOVE....GHOST HUNTERS ,1
@skandarkeynes is this really you..and did you know im kinda related to you..in a very distant way ,1
#inaperfectworld hoobastank wouldn't do this  http://bit.ly/oi40k #iranelection #hoobastank #tehran,0
@ihaveanidea was too late to buy ticket &amp; not working for Corbis anymore ... now for Getty ,1
@robinsons Ever thought about a career in personal training? ,1
@DeBo_XL woops sorry  just now checked phone. ,0
@ObbyP im right there with ya homeboy...of to the drs in the morning ,0
@felixcartal whats so cool there? i've never bin outta germany ,0
@MinamoKaze I've been catching Witch mice with ZLM/Polar/Swiss. I can't seem to catch that Nibbler mouse though.  #mhstrategy,0
Dr's today at 1:00. ,1
I wasn't around for the twitter spam '09 of ontd. ,0
hot very hot.... ,0
"*ugh* it's midnight and I need to get more of these articles done. *oi* I have been a bad, bad girl this w/e. ",0
ordered the Sims 3 ^__^ waiting waiting waiting...and waiting some more  Guess I don't need wow now ^__^,1
Crazy great show to end an insanely amazing week. wish it wasnt coming to an end. ,0
Had a wonderful weekend with my brother. I'm tired now... going zzzzz.... need to go to work tomorrow ,0
@vonnysmells I am on holiday till the 11th of august  And this year's line-up is SO good!,0
"@NakedMushroom Aw, thank you.  The rose shape is beautiful and I like the muted shades. I'm going to look at your shop and heart a couple.",1
@eawilkin What are you doinnnnggg????  You need to hop on my Flickr invite so you can see my San Fran pics!,1
Good birding trip within 7 days with 5 Pitta and Bornean Bristlehead ,1
needs to see the boy so he can take away all the pain. funny how i rely on him so much now ,0
So stressed  http://myloc.me/3X8v,0
Just in newry...me and cat are going to buy a tent! Summer 2008 people! Its raining now though. ,0
@pandora114 This is why I don't see myself moving States-side soon; Canada HC has been good to me and mine. I wish y'all had what I have ,0
One of mom's best friends was in a car accident literally right after I met with her   shattered her kneecap...in surgery now.,0
32 more minutes..32 more minutes..  it cannot pass any slower.,0
@jordanknight I will be there again...loved this years ,1
at the beach trying to tan the parts of my body tht arent tan .. haha .. leaving soon then banquet ..  &lt;3,1
@Beautorium it would seem they chose the appropriate verb then ,1
is going to have fun tonight. ,1
"@DominaCaffeine Don't worry, dear; you sound crazy and obsessed anyway, not just now ",1
@jvrockon I'll be checking out your links Thanks for the follow ,1
"@adriansoare Oh, touchee.  Atunci da, &quot;cum sa agati&quot; pare un subiect mai suculent. Desi, business will always be business.",1
@newsvibe Unfortunately SA beat Fiji in the women's netball final last night. ,0
HAPPY MOTHERï¿½S DAY! Especially to the single mothers out there! Keep the faith. My mom did . And Look how I turned out!  lol,1
"Rope witdrawal in full effect, no one to tie, no teaching, no demos, no one to play with. But worst of all - No one to play with! ",0
@JaiAsh anytime  that's what Im here for *giggles*,1
"oh p.s. anybody else following @tinybuddha? i love the lil guy, hes the greatest ",1
"@ShaFunnyXL Rooooooly! *hug* whassup, bro ",1
"however, my real-life hairstylist is going to real-life kill me when she sees how unreal my hair has become. sorry, angi ",0
"I'm using GeekTool 3, but it's very bugy now ",0
is up and awake but doesn't know why... I'm still very sleepy ,0
"amp451  Definately   Goodnight, Sweet Dreams!",1
almost off of work...then headed to Teriyaki Madness &lt;---yummy ,1
drinking sweet tea and listening to anoop  ... it's a southern thaaaang ? lol,1
feels bad for postponing tomorrow's mango trip ,0
I should be twittering more often! From now on you will see many more tweets from me! ,1
enjoying ben's and jerry ice cream at the cathay with the guys. Chocolate chip cookie dough and chocolate mint with waffle! ,1
just voted for the TCA09  go gossip girl and jb ,1
Apparently I'm charming... ,1
"@onemorelesbian Yes, do come back soon...but enjoy the last of your holiday ",1
"@alsointocats well jfc you have to tell me, i won't get it in the mail for a few weeks ",0
"met Maria and her boyfriend Shane today, cool people ",1
@chuckdarw1n brilliant! hope Twitter-groupiness isn't annoying! ,0
"you hush brett, you chode ",1
At the gym again. Not enjoying it again. It's like going to the dentist. I hate it but i do it cus i know i have to. ,0
I swatted a mosquito and I feel bad.  ,0
"Replacing an IBM AIX server, making an INFORMIX BACKUP in the old one, then upload the backup to the new one...Yeah I know its SUNDAY  ",0
@311fanalways  no. i just feel like throwing up ,0
had a great evening yesterday  xoxo ,1
"my sister is more mad at me , and she wants me to delete the pikachu pictures she found, I dont like having sis mad at me ",0
Made my day 1: lots of LOST research. kind of productive. but changed my twitter BG to fave character ,1
@IvanAlstonJr my high school classmate. ,1
I'm super bored please! Sianz  - http://tweet.sg,0
I gotta go already  Tweet you all laterrrrrrrrrrrr!,0
@rokkster - spent some time on their website today and not impressed at all. Some forms aren't clear. Mega CB issues too  #fail,0
I miss my XBOX360  sad face,0
i still never been to a lupe fiasco show...  i always wanted to go,0
Toasted cheese amp; chorizo sandwich whilst watching Robin Hood with my bloke ,1
Great trip home ,1
@shitzngigz i was having a horrible dream anyways glad i got woke! ,1
Interesting - Google Chrome for #Linux (albeit via Wine) - http://www.codeweavers.com/services/ports/chromium/ ,1
global exam today  I need all the luck I can get so wish me some,0
@jameelamalicdem OMG JAM! NABURA PICTURES KO SA FLASH DISK! Grabe. Pati yung mga pine-preserve kong 1st year HS pictures. ,0
@billyraycyrus  i'm from iowa!!  -Life Is Gd -,1
"gerard is starting to get good at rock band, so proud of him ",1
first final is in 24 hrs. ,0
I want to be stalked... ,0
"@lzantal not today, sorry, we'll try to next time.  You still have time to get down here ",1
"@KayWay418 and @teragraMyraM I miss Jeopardy too, and Alex and his ugly  brown suits.  ",0
@BrechtDW Very nice  How is living in Dubai? Your twitpic account has some amazing photos on it!,1
"is on PPA! Doesnt know where to start, oh what a shame! N the kids have taken my nice writer pen  which makes it worse!!",0
@teresajsharp it isn't. i stopped watching it a long time ago. doesn't even COMPARE to 30 rock ,1
"@AlmostaCriminal oh? you think you're special, huh? ",1
long night at work...home now and drinkin some wine ,1
@jordanknight We decided just BOXERS k ,1
Omg there is soo much traffic!!!! There's never traffic at this time!! ,0
"Just heard that a friend of mine is having to rehome her Boxer, very sad ",0
So there's this guy and I think he likes me...but I'm totally not feeling it...true story. sad story ,0
@lettym16 no doubt! You look like fun ,1
gutted I didn't know about Bruno at Taylor Square this morning  #fb,0
wut? still no follower?   lets follow them...,0
@KingKan KK!!!!  YeeeeeBoyeeeeeE!  hahaha!  I'm saying didn't I ask you?! ,1
Aww... On train and the pretty Asian woman sitting across from me just started crying ,0
@miasmom1 arleneeeeeeeeee you werent on aim ,0
